wwtp_id,county_fips,county,state,population_served,sample_location,normalization_method,per_capita_flow_rate,start_date,end_date,days,loss,sm,lt,rd,k,half_life
711,12086,Miami-Dade,Florida,829725,Treatment plant,flow-population,2607.963367373054,2022-05-18,2022-12-13,209,28831473664.0,1.1577558363523834e+20,7,0.5000000000000002,0.6931471805599457,0.999787663336051
668,12086,Miami-Dade,Florida,920528,Treatment plant,flow-population,2662.07478894665,2022-05-22,2022-12-14,206,82884452352.0,2.5772530444102563e+20,14,0.5000000000000002,0.6931471805599457,0.999787663336051
781,12086,Miami-Dade,Florida,776150,Treatment plant,flow-population,1888.6750237695587,2022-05-24,2022-12-13,203,9896989696.0,2.9360707188620747e+19,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1631,12095,Orange,Florida,50000,Treatment plant,microbial,1.59138820310684e-09,2022-10-27,2022-12-14,48,0.1846164464950561,15501188370893.408,4,0.5000000000000002,0.6931471805599457,0.999787663336051
1699,12099,Palm Beach,Florida,90000,Treatment plant,microbial,7.779040935410282e-10,2022-09-14,2022-12-14,91,0.5020219087600708,2.5056808947493074,10,0.3,0.3566749439387324,1.94294556367559
1551,12099,Palm Beach,Florida,300000,Treatment plant,flow-population,484.3484455069293,2022-09-26,2022-12-13,78,77712.21875,1264109507088012.5,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1735,12117,Seminole,Florida,95000,Treatment plant,microbial,8.88335819893694e-10,2022-10-24,2022-11-30,37,0.0757526382803917,2.878434860644788,14,0.4270000000000001,0.5568695622673976,1.244456596223938
1747,13185,Lowndes,Georgia,19400,Treatment plant,flow-population,30.875774641742805,2022-11-16,2022-12-08,22,0.0058724624104797,204423192856.22025,14,0.366,0.4557063245449113,1.5207162215535648
710,15007,Kauai,Hawaii,10000,Treatment plant,flow-population,529.3693425837648,2022-05-03,2022-12-13,224,0.1031831949949264,1004256423736.0192,0,0.375,0.4700036292457356,1.474456699647469
647,17143,Peoria,Illinois,157379,Treatment plant,flow-population,420.9610692712637,2022-02-14,2022-12-05,294,312722816.0,9.802159285317532e+17,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1350,18003,Allen,Indiana,315000,Treatment plant,flow-population,685.9702167915411,2022-07-24,2022-12-13,142,0.8535677790641785,200904170908896.0,14,0.3,0.3566749439387324,1.94294556367559
1162,18057,Hamilton,Indiana,98000,Treatment plant,flow-population,1576.996180481974,2022-06-01,2022-12-14,196,0.5757750272750854,62644988458956.41,0,0.3,0.3566749439387324,1.94294556367559
828,18057,Hamilton,Indiana,86000,Treatment plant,flow-population,2195.5733232317766,2022-05-11,2022-12-13,216,0.4665162861347198,100176643781171.4,5,0.3,0.3566749439387324,1.94294556367559
1352,18077,Jefferson,Indiana,16000,Treatment plant,flow-population,515.5720020498827,2022-07-26,2022-12-13,140,0.3741783797740936,17214709488152.0,0,0.3,0.3566749439387324,1.94294556367559
1269,18089,Lake,Indiana,28000,Treatment plant,flow-population,2700.2803472215146,2022-06-20,2022-12-14,177,0.2478391677141189,38212248379944.8,7,0.3,0.3566749439387324,1.94294556367559
1207,21041,Carroll,Kentucky,3000,Before treatment plant,flow-population,413.2093749047158,2022-06-08,2022-09-01,85,0.1221287548542022,493693377655.3262,14,0.4230000000000001,0.5499130124740376,1.260199312037043
901,21111,Jefferson,Kentucky,55928,Treatment plant,flow-population,192.5084182436013,2022-02-27,2022-07-31,154,0.0548999495804309,1509578526001.0671,7,0.5000000000000002,0.6931471805599457,0.999787663336051
905,21111,Jefferson,Kentucky,349850,Treatment plant,flow-population,422.512126547389,2022-02-27,2022-08-07,161,918511.1875,3932245487332045.0,0,0.5000000000000002,0.6931471805599457,0.999787663336051
903,21111,Jefferson,Kentucky,32460,Treatment plant,flow-population,448.94147560807016,2022-02-27,2022-08-07,161,0.1073938831686973,4594352559921.535,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1701,21111,Jefferson,Kentucky,423913,Treatment plant,microbial,1.606229959821446e-09,2022-02-24,2022-12-13,292,5290849.5,196789.0128335226,0,0.5000000000000002,0.6931471805599457,0.999787663336051
904,21111,Jefferson,Kentucky,31269,Treatment plant,flow-population,274.1226782068069,2022-02-27,2022-08-07,161,0.0360348150134086,2425408053193.572,14,0.5000000000000002,0.6931471805599457,0.999787663336051
902,21111,Jefferson,Kentucky,295910,Treatment plant,flow-population,188.41931064783057,2022-02-27,2022-07-31,154,75729.7109375,458394496051374.3,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1497,22051,Jefferson,Louisiana,300000,Treatment plant,flow-population,418.5719825053949,2022-08-30,2022-12-14,106,0.0666824951767921,1722385778174.4077,14,0.3,0.3566749439387324,1.94294556367559
1614,22051,Jefferson,Louisiana,65364,Treatment plant,flow-population,552.1736987937968,2022-10-19,2022-12-14,56,0.4731839597225189,24536387377120.008,14,0.3,0.3566749439387324,1.94294556367559
1656,22051,Jefferson,Louisiana,100000,Treatment plant,flow-population,83.75625491461003,2022-11-13,2022-12-13,30,0.369041383266449,12385584743140.0,0,0.3,0.3566749439387324,1.94294556367559
1659,22051,Jefferson,Louisiana,100000,Treatment plant,flow-population,413.8696520618028,2022-11-13,2022-12-14,31,0.6163823008537292,30853261847340.0,14,0.3,0.3566749439387324,1.94294556367559
1626,22051,Jefferson,Louisiana,100000,Treatment plant,flow-population,121.23143605035118,2022-10-23,2022-12-13,51,0.9842052459716796,4480910076389.999,14,0.3,0.3566749439387324,1.94294556367559
1754,23005,Cumberland,Maine,10000,Treatment plant,microbial,1.198761921728871e-09,2022-11-29,2022-12-15,16,2.178552389144897,7.3370260659329585,5,0.3,0.3566749439387324,1.94294556367559
1707,23005,Cumberland,Maine,65000,Treatment plant,microbial,2.476425231877516e-09,2022-09-02,2022-12-14,103,0.0568467676639556,3.9237413137881454,5,0.4060000000000001,0.5208759596194924,1.3304511125954952
716,23005,Cumberland,Maine,8500,Treatment plant,flow-population,1606.2260194287303,2022-05-02,2022-12-14,226,0.0568832717835903,6384186642127.587,1,0.308,0.3681693233644675,1.882286100501556
666,24001,Allegany,Maryland,45000,Treatment plant,flow-population,836.7941349489299,2022-06-12,2022-12-13,184,0.379131019115448,990190491131.5868,0,0.367,0.4572848568379608,1.515466759148696
1348,24017,Charles,Maryland,88500,Treatment plant,flow-population,1199.9792384555794,2022-07-24,2022-12-13,142,0.1934196352958679,1239857103190.682,14,0.3,0.3566749439387324,1.94294556367559
547,24027,Howard,Maryland,270000,Treatment plant,flow-population,1223.9503616438392,2022-11-28,2022-12-13,15,2.7746224403381348,63980244649710.0,14,0.3,0.3566749439387324,1.94294556367559
1311,25005,Bristol,Massachusetts,100000,Treatment plant,flow-population,745.8197550477723,2022-07-06,2022-12-12,159,9069.6376953125,192708765697591.2,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1384,25017,Middlesex,Massachusetts,180000,Treatment plant,flow-population,4202.440180186566,2022-07-31,2022-12-13,135,359872.40625,1.293781707171712e+16,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1180,25027,Worcester,Massachusetts,12000,Treatment plant,flow-population,1012.38280053598,2022-06-05,2022-12-13,191,0.1007140651345253,13385358981581.012,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1330,25027,Worcester,Massachusetts,3000,Treatment plant,flow-population,331.6346325342992,2022-07-12,2022-12-14,155,0.0475445799529552,3535840386725.1147,8,0.3,0.3566749439387324,1.94294556367559
1495,25027,Worcester,Massachusetts,42000,Treatment plant,flow-population,589.3053430735813,2022-08-31,2022-12-14,105,0.1401401907205581,1821406923819.5168,4,0.35,0.4307829160924544,1.6086988924399888
554,32031,Washoe,Nevada,200000,Treatment plant,flow-population,2178.512054073308,2022-05-02,2022-12-13,225,8063594.5,1.7764440499540134e+17,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1605,34003,Bergen,New Jersey,564563,Treatment plant,flow-population,2219.9027611547704,2022-10-18,2022-12-13,56,6959289856.0,1.4409261164357775e+19,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1453,34025,Monmouth,New Jersey,47000,Treatment plant,flow-population,854.3718489876592,2022-08-17,2022-12-14,119,0.1492428481578827,3289145582898.3965,10,0.368,0.4588658848352798,1.5102451999646211
1763,34025,Monmouth,New Jersey,52672,Treatment plant,microbial,8.88708769250508e-10,2022-12-05,2022-12-14,9,0.0294733438640832,5.979186676569061,2,0.4790000000000001,0.6520052372287704,1.0628748979770015
1616,34025,Monmouth,New Jersey,40000,Treatment plant,flow-population,785.0362628824192,2022-09-21,2022-12-14,84,0.1797052770853042,3872176038829.892,3,0.363,0.4509856234099736,1.5366343493615546
1667,42043,Dauphin,Pennsylvania,125000,Treatment plant,microbial,6.185157001650871e-09,2022-08-02,2022-12-13,133,0.0197705905884504,6.618331363604055,14,0.4300000000000001,0.5621189181535415,1.2328352197723196
