sampling_week,effective_concentration_rolling_average,population,region
2021-04-21,196.2066409736466,"100,000-300,000",Midwest
2021-04-21,147.7150803293074,"3,000,000-10,000,000",Nationwide
2021-04-21,174.99688524252974,"3,000,000-10,000,000",Northeast
2021-04-21,125.71672503422228,"3,000,000-10,000,000",South
2021-04-21,129.42325319504985,"300,000-1,000,000",West
2021-04-28,174.05690319824762,"100,000-300,000",Midwest
2021-04-28,120.90397807628636,"3,000,000-10,000,000",Nationwide
2021-04-28,138.75621848903614,"3,000,000-10,000,000",Northeast
2021-04-28,104.60245861863945,"3,000,000-10,000,000",South
2021-04-28,112.43919280488252,"300,000-1,000,000",West
2021-05-05,116.75101836254096,"100,000-300,000",Midwest
2021-05-05,83.51964384870318,"3,000,000-10,000,000",Nationwide
2021-05-05,103.88544168362624,"3,000,000-10,000,000",Northeast
2021-05-05,69.75845455051811,"3,000,000-10,000,000",South
2021-05-05,77.11401898353887,"300,000-1,000,000",West
2021-05-12,106.29964482022136,"100,000-300,000",Midwest
2021-05-12,67.29615192134655,"3,000,000-10,000,000",Nationwide
2021-05-12,84.75383420612363,"3,000,000-10,000,000",Northeast
2021-05-12,57.09341084863039,"3,000,000-10,000,000",South
2021-05-12,53.53607548085347,"300,000-1,000,000",West
2021-05-19,87.12637209535002,"100,000-300,000",Midwest
2021-05-19,57.19154639435209,"3,000,000-10,000,000",Nationwide
2021-05-19,60.55659914061487,"3,000,000-10,000,000",Northeast
2021-05-19,50.819893039148106,"3,000,000-10,000,000",South
2021-05-19,75.07597893047256,"300,000-1,000,000",West
2021-05-26,33.95052362473485,"30,000-100,000",Midwest
2021-05-26,38.74785761125093,"3,000,000-10,000,000",Nationwide
2021-05-26,39.63647408200082,"3,000,000-10,000,000",Northeast
2021-05-26,35.005031137138936,"3,000,000-10,000,000",South
2021-05-26,81.09914020570339,"100,000-300,000",West
2021-06-02,22.988090221722228,"100,000-300,000",Midwest
2021-06-02,39.2619577737525,"3,000,000-10,000,000",Nationwide
2021-06-02,32.30817760694665,"3,000,000-10,000,000",Northeast
2021-06-02,45.152849422948016,"3,000,000-10,000,000",South
2021-06-02,52.8884810822615,"300,000-1,000,000",West
2021-06-09,29.95764376378808,"3,000,000-10,000,000",Midwest
2021-06-09,58.20488746523231,"10,000,000-30,000,000",Nationwide
2021-06-09,46.90181526292449,"3,000,000-10,000,000",Northeast
2021-06-09,79.85424181425599,"3,000,000-10,000,000",South
2021-06-09,51.00413808705875,"3,000,000-10,000,000",West
2021-06-16,42.68859689380978,"3,000,000-10,000,000",Midwest
2021-06-16,61.7401318422362,"30,000,000-100,000,000",Nationwide
2021-06-16,41.400494761742095,"3,000,000-10,000,000",Northeast
2021-06-16,83.00706978460067,"3,000,000-10,000,000",South
2021-06-16,61.74510419987183,"10,000,000-30,000,000",West
2021-06-23,59.66848590667897,"10,000,000-30,000,000",Midwest
2021-06-23,69.11205799650931,"30,000,000-100,000,000",Nationwide
2021-06-23,38.51022691982102,"3,000,000-10,000,000",Northeast
2021-06-23,88.2706672644681,"10,000,000-30,000,000",South
2021-06-23,75.2510023418072,"10,000,000-30,000,000",West
2021-06-30,39.11733782499425,"10,000,000-30,000,000",Midwest
2021-06-30,72.32860601227408,"30,000,000-100,000,000",Nationwide
2021-06-30,41.90130428228815,"3,000,000-10,000,000",Northeast
2021-06-30,99.67981264735016,"10,000,000-30,000,000",South
2021-06-30,84.37599942304352,"10,000,000-30,000,000",West
2021-07-07,39.47222303006416,"10,000,000-30,000,000",Midwest
2021-07-07,92.60916083182128,"30,000,000-100,000,000",Nationwide
2021-07-07,41.17384990191204,"3,000,000-10,000,000",Northeast
2021-07-07,151.96417494461875,"10,000,000-30,000,000",South
2021-07-07,88.58137545915918,"10,000,000-30,000,000",West
2021-07-14,58.08112064601874,"10,000,000-30,000,000",Midwest
2021-07-14,133.93805848160233,"30,000,000-100,000,000",Nationwide
2021-07-14,59.57838881346613,"3,000,000-10,000,000",Northeast
2021-07-14,233.63074595602583,"10,000,000-30,000,000",South
2021-07-14,109.15096378716903,"10,000,000-30,000,000",West
2021-07-21,98.0151061097268,"10,000,000-30,000,000",Midwest
2021-07-21,232.76595421368347,"30,000,000-100,000,000",Nationwide
2021-07-21,117.79391820062811,"3,000,000-10,000,000",Northeast
2021-07-21,410.718235657742,"10,000,000-30,000,000",South
2021-07-21,181.07619263000984,"10,000,000-30,000,000",West
2021-07-28,130.9122914880712,"10,000,000-30,000,000",Midwest
2021-07-28,345.89032642470767,"30,000,000-100,000,000",Nationwide
2021-07-28,193.8834526676277,"3,000,000-10,000,000",Northeast
2021-07-28,587.1568985381331,"10,000,000-30,000,000",South
2021-07-28,289.0871783667684,"10,000,000-30,000,000",West
2021-08-04,184.7259567857599,"10,000,000-30,000,000",Midwest
2021-08-04,425.50589063680826,"30,000,000-100,000,000",Nationwide
2021-08-04,227.30529170909384,"3,000,000-10,000,000",Northeast
2021-08-04,710.6336340336005,"10,000,000-30,000,000",South
2021-08-04,368.26570323968895,"10,000,000-30,000,000",West
2021-08-11,228.77612627219628,"10,000,000-30,000,000",Midwest
2021-08-11,471.3780746171212,"30,000,000-100,000,000",Nationwide
2021-08-11,272.5690832713455,"3,000,000-10,000,000",Northeast
2021-08-11,743.5622769823516,"10,000,000-30,000,000",South
2021-08-11,426.21485891610354,"10,000,000-30,000,000",West
2021-08-18,258.697380254821,"10,000,000-30,000,000",Midwest
2021-08-18,514.5156351323066,"30,000,000-100,000,000",Nationwide
2021-08-18,282.1583322947432,"3,000,000-10,000,000",Northeast
2021-08-18,812.0887562622485,"10,000,000-30,000,000",South
2021-08-18,444.1370436701953,"10,000,000-30,000,000",West
2021-08-25,401.38427205003785,"300,000-1,000,000",Midwest
2021-08-25,698.0950871210704,"10,000,000-30,000,000",Nationwide
2021-08-25,335.07517328167734,"3,000,000-10,000,000",Northeast
2021-08-25,1097.2346134445015,"3,000,000-10,000,000",South
2021-08-25,437.5304730991418,"1,000,000-3,000,000",West
